nb_samples,eint,sd_Sv,Vert_Slice_Idx,Horz_Slice_Idx,Ping_S,Ping_E,Nb_good_pings,Sample_S,Sample_E,Range_min,Range_max,Depth_min,Depth_max,Depth_mean,Dist_to_bot_min,Dist_to_bot_max,Dist_to_bot_mean,Range_ref_min,Range_ref_max,Thickness_tot,Thickness_mean,Dist_S,Dist_E,Time_S,Time_E,Lat_S,Lon_S,Lat_E,Lon_E,PRC,sv,ABC,NASC,nb_st,nb_tracks,st_ts_mean,tracks_ts_mean,Tags
12312,7.50696841330726e-05,5.89946499845553,1,1,1,216,216,58,114,10.032856425,19.889697825,10.0328559875488,19.8896980285645,14.9612770080566,NaN,NaN,NaN,10.032856425,19.889697825,10.032856425,10.032856425,0,999.457571325774,28/03/2021 04:00:02.971,28/03/2021 04:09:47.438,10.4919097658559,-117.775740726863,10.4985457681317,-117.769580042803,1,3.46406665487003e-08,3.4754483394941e-07,14.9796844883936,0,0,-999,-999,
12312,7.49464110930592e-05,10.1085147171671,1,2,1,216,216,115,171,20.06571285,29.92255425,20.0657119750977,29.9225540161133,24.9941329956055,NaN,NaN,NaN,20.06571285,29.92255425,10.032856425,10.032856425,0,999.457571325774,28/03/2021 04:00:02.971,28/03/2021 04:09:47.438,10.4919097658559,-117.775740726863,10.4985457681317,-117.769580042803,1,3.45837825971709e-08,3.4697412543083e-07,14.9550861266628,0,0,-999,-999,
12312,0.00013344371793273,17.6776883095926,1,3,1,216,216,172,228,30.098569275,39.955410675,30.0985698699951,39.9554100036621,35.0269899368286,NaN,NaN,NaN,30.098569275,39.955410675,10.032856425,10.032856425,0,999.457571325774,28/03/2021 04:00:02.971,28/03/2021 04:09:47.438,10.4919097658559,-117.775740726863,10.4985457681317,-117.769580042803,1,6.15771784483904e-08,6.17794990429305e-07,26.6278566997438,0,0,-999,-999,
12312,0.000155190096959276,6.06524659728655,1,4,1,216,216,229,285,40.1314257,49.9882671,40.1314239501953,49.9882659912109,45.0598449707031,NaN,NaN,NaN,40.1314257,49.9882671,10.032856425,10.032856425,0,999.457571325774,28/03/2021 04:00:02.971,28/03/2021 04:09:47.438,10.4919097658559,-117.775740726863,10.4985457681317,-117.769580042803,1,7.1611975759711e-08,7.18472671107761e-07,30.9672101996898,0,0,-999,-999,
12312,0.000138812071184979,29.4903163000489,1,5,1,216,216,286,342,50.164282125,60.021123525,50.1642837524414,60.0211219787598,55.0927028656006,NaN,NaN,NaN,50.164282125,60.021123525,10.032856425,10.032856425,0,999.457571325774,28/03/2021 04:00:02.971,28/03/2021 04:09:47.438,10.4919097658559,-117.775740726863,10.4985457681317,-117.769580042803,1,6.40543879514586e-08,6.42648477708235e-07,27.6990779106707,0,0,-999,-999,
12096,2.29634130280581e-05,108.189168247111,1,6,1,216,216,343,398,60.19713855,69.877964925,60.1971397399902,69.8779678344727,65.0375537872314,NaN,NaN,NaN,60.19713855,69.877964925,9.8568414,9.8568414,0,999.457571325774,28/03/2021 04:00:02.971,28/03/2021 04:09:47.438,10.4919097658559,-117.775740726863,10.4985457681317,-117.769580042803,1,1.07856150908668e-08,1.06312097352121e-07,4.58220499938714,0,0,-999,-999,
12312,2.15654532716545e-06,281.533273594531,1,7,1,216,216,399,455,70.05397995,79.91082135,70.0539779663086,79.9108200073242,74.9823989868164,NaN,NaN,NaN,70.05397995,79.91082135,10.032856425,10.032856425,0,999.457571325774,28/03/2021 04:00:02.971,28/03/2021 04:09:47.438,10.4919097658559,-117.775740726863,10.4985457681317,-117.769580042803,1,9.95130969820941e-10,9.98400614428451e-09,0.430325090066899,0,0,-999,-999,
12312,4.85198865256232e-07,442.47978443375,1,8,1,216,216,456,512,80.086836375,89.943677775,80.0868377685547,89.9436798095703,85.0152587890625,NaN,NaN,NaN,80.086836375,89.943677775,10.032856425,10.032856425,0,999.457571325774,28/03/2021 04:00:02.971,28/03/2021 04:09:47.438,10.4919097658559,-117.775740726863,10.4985457681317,-117.769580042803,0.999999999999999,2.23893470383528e-10,2.24629104285293e-09,0.0968183894683918,0,0,-999,-999,
12312,9.06116772680717e-08,219.141567528194,1,9,1,216,216,513,569,90.1196928,99.9765342,90.1196899414063,99.9765319824219,95.0481109619141,NaN,NaN,NaN,90.1196928,99.9765342,10.032856425,10.032856425,0,999.457571325774,28/03/2021 04:00:02.971,28/03/2021 04:09:47.438,10.4919097658559,-117.775740726863,10.4985457681317,-117.769580042803,1,4.18124697593988e-11,4.19498505870702e-10,0.0180809917094333,0,0,-999,-999,
12312,4.044545220152e-08,125.128525137471,1,10,1,216,216,570,626,100.152549225,110.009390625,100.152549743652,110.009391784668,105.08097076416,NaN,NaN,NaN,100.152549225,110.009390625,10.032856425,10.032856425,0,999.457571325774,28/03/2021 04:00:02.971,28/03/2021 04:09:47.438,10.4919097658559,-117.775740726863,10.4985457681317,-117.769580042803,1,1.86634250470624e-11,1.87247463895926e-10,0.00807063623572993,0,0,-999,-999,
12096,2.11128555578455e-09,21.8761255592139,1,11,1,216,216,627,682,110.18540565,119.866232025,110.185401916504,119.866233825684,115.025817871094,NaN,NaN,NaN,110.18540565,119.866232025,9.8568414,9.8568414,0,999.457571325774,28/03/2021 04:00:02.971,28/03/2021 04:09:47.438,10.4919097658559,-117.775740726863,10.4985457681317,-117.769580042803,1,9.91643242394994e-13,9.77447016566922e-12,0.000421293786643523,0,0,-999,-999,
