nb_samples,eint,sd_Sv,Vert_Slice_Idx,Horz_Slice_Idx,Ping_S,Ping_E,Nb_good_pings,Sample_S,Sample_E,Range_min,Range_max,Depth_min,Depth_max,Depth_mean,Dist_to_bot_min,Dist_to_bot_max,Dist_to_bot_mean,Range_ref_min,Range_ref_max,Thickness_tot,Thickness_mean,Dist_S,Dist_E,Time_S,Time_E,Lat_S,Lon_S,Lat_E,Lon_E,PRC,sv,ABC,NASC,nb_st,nb_tracks,st_ts_mean,tracks_ts_mean,Tags
169005,0.000418309256900628,18.7684900470211,1,1,1,2965,2965,58,114,10.166233218314,20.1541114678856,10.1662330627441,20.1541118621826,15.1601724624634,NaN,NaN,NaN,10.166233218314,20.1541114678856,10.166233218314,10.166233218314,0,999.899141254059,28/10/2021 15:00:03.050,28/10/2021 17:12:36.715,10.2336166773748,-116.056665866908,10.2363422382667,-116.051405239274,1,1.38775470755002e-08,1.41082380067665e-07,6.08085442177193,0,0,-999,-999,
166040,0.000307219076543553,35.3406039308517,1,2,1,2965,2965,115,170,20.3324664366279,30.1419897174572,20.3324661254883,30.1419906616211,25.2372283935547,NaN,NaN,NaN,20.3324664366279,30.1419897174572,9.9878782495716,9.9878782495716,0,999.899141254059,28/10/2021 15:00:03.050,28/10/2021 17:12:36.715,10.2336166773748,-116.056665866908,10.2363422382667,-116.051405239274,1,1.03740955078134e-08,1.03615202881468e-07,4.46596495113267,0,0,-999,-999,
166040,0.000403962773382554,132.591437479296,1,3,1,2965,2965,171,226,30.3203446861995,40.1298679670288,30.3203449249268,40.1298675537109,35.2251062393188,NaN,NaN,NaN,30.3203446861995,40.1298679670288,9.9878782495716,9.9878782495716,0,999.899141254059,28/10/2021 15:00:03.050,28/10/2021 17:12:36.715,10.2336166773748,-116.056665866908,10.2363422382667,-116.051405239274,1,1.36409120156889e-08,1.36243768425819e-07,5.87230326900965,0,0,-999,-999,
166040,0.0011050620582421,66.6096919905179,1,4,1,2965,2965,227,282,40.3082229357711,50.1177462166004,40.3082237243652,50.1177444458008,45.212984085083,NaN,NaN,NaN,40.3082229357711,50.1177462166004,9.9878782495716,9.9878782495716,0,999.899141254059,28/10/2021 15:00:03.050,28/10/2021 17:12:36.715,10.2336166773748,-116.056665866908,10.2363422382667,-116.051405239274,1,3.73154540507163e-08,3.72702211886037e-07,16.0640038257393,0,0,-999,-999,
166040,0.00259035963908989,48.625779470401,1,5,1,2965,2965,283,338,50.2961011853427,60.105624466172,50.2961006164551,60.1056251525879,55.2008628845215,NaN,NaN,NaN,50.2961011853427,60.105624466172,9.9878782495716,9.9878782495716,0,999.899141254059,28/10/2021 15:00:03.050,28/10/2021 17:12:36.715,10.2336166773748,-116.056665866908,10.2363422382667,-116.051405239274,1,8.74706043577801e-08,8.73645746741954e-07,37.6553939591187,0,0,-999,-999,
166040,0.00130875981154588,93.3404037443494,1,6,1,2965,2965,339,394,60.2839794349143,70.0935027157436,60.2839813232422,70.093505859375,65.1887435913086,NaN,NaN,NaN,60.2839794349143,70.0935027157436,9.9878782495716,9.9878782495716,0,999.899141254059,28/10/2021 15:00:03.050,28/10/2021 17:12:36.715,10.2336166773748,-116.056665866908,10.2363422382667,-116.051405239274,1,4.41938678890602e-08,4.41402971853586e-07,19.0251058416494,0,0,-999,-999,
166040,0.000496292314417492,246.770676287203,1,7,1,2965,2965,395,450,70.2718576844859,80.0813809653152,70.271858215332,80.0813827514648,75.1766204833984,NaN,NaN,NaN,70.2718576844859,80.0813809653152,9.9878782495716,9.9878782495716,0,999.899141254059,28/10/2021 15:00:03.050,28/10/2021 17:12:36.715,10.2336166773748,-116.056665866908,10.2363422382667,-116.051405239274,1,1.67586724349487e-08,1.67383579904719e-07,7.21447413566071,0,0,-999,-999,
166040,5.80925458614947e-05,438.255244648467,1,8,1,2965,2965,451,506,80.2597359340575,90.0692592148868,80.2597351074219,90.0692596435547,85.1644973754883,NaN,NaN,NaN,80.2597359340575,90.0692592148868,9.9878782495716,9.9878782495716,0,999.899141254059,28/10/2021 15:00:03.050,28/10/2021 17:12:36.715,10.2336166773748,-116.056665866908,10.2363422382667,-116.051405239274,1,1.96165428865789e-09,1.9592764202865e-08,0.844476445468134,0,0,-999,-999,
166040,2.23468559057959e-06,113.737084653653,1,9,1,2965,2965,507,562,90.2476141836291,100.057137464458,90.2476119995117,100.057136535645,95.1523742675781,NaN,NaN,NaN,90.2476141836291,100.057137464458,9.9878782495716,9.9878782495716,0,999.899141254059,28/10/2021 15:00:03.050,28/10/2021 17:12:36.715,10.2336166773748,-116.056665866908,10.2363422382667,-116.051405239274,1,7.54602937012624e-11,7.53688226165124e-10,0.0324850515033523,0,0,-999,-999,
166040,1.93423688766709e-06,64.1459036617394,1,10,1,2965,2965,563,618,100.235492433201,110.04501571403,100.235488891602,110.045013427734,105.140251159668,NaN,NaN,NaN,100.235492433201,110.04501571403,9.9878782495716,9.9878782495716,0,999.899141254059,28/10/2021 15:00:03.050,28/10/2021 17:12:36.715,10.2336166773748,-116.056665866908,10.2363422382667,-116.051405239274,1,6.53148184453629e-11,6.52356454525158e-10,0.0281175057379113,0,0,-999,-999,
166040,1.29372017281703e-06,41.7368526335313,1,11,1,2965,2965,619,674,110.223370682772,120.032893963602,110.223373413086,120.032890319824,115.128131866455,NaN,NaN,NaN,110.223370682772,120.032893963602,9.9878782495716,9.9878782495716,0,999.899141254059,28/10/2021 15:00:03.050,28/10/2021 17:12:36.715,10.2336166773748,-116.056665866908,10.2363422382667,-116.051405239274,1,4.36860132000497e-11,4.36330581051275e-10,0.0188064784692987,0,0,-999,-999,
166040,8.8632496024992e-06,63.5537518707371,1,12,1,2965,2965,675,730,120.211248932344,130.020772213173,120.211250305176,130.020767211914,125.116008758545,NaN,NaN,NaN,120.211248932344,130.020772213173,9.9878782495716,9.9878782495716,0,999.899141254059,28/10/2021 15:00:03.050,28/10/2021 17:12:36.715,10.2336166773748,-116.056665866908,10.2363422382667,-116.051405239274,1,2.99291954524448e-10,2.98929160286651e-09,0.128842787118691,0,0,-999,-999,
166040,3.72818914339355e-96,0,1,13,1,2965,2965,731,786,130.199127181916,140.008650462745,130.199127197266,140.008651733398,135.103889465332,NaN,NaN,NaN,130.199127181916,140.008650462745,9.98787824957159,9.9878782495716,0,999.899141254059,28/10/2021 15:00:03.050,28/10/2021 17:12:36.715,10.2336166773748,-116.056665866908,10.2363422382667,-116.051405239274,1,1.25892541179079e-100,1.25739937382582e-99,5.41957297473633e-92,0,0,-999,-999,
166040,3.72818914339355e-96,0,1,14,1,2965,2965,787,842,140.187005431487,149.996528712316,140.18701171875,149.996536254883,145.091773986816,NaN,NaN,NaN,140.187005431487,149.996528712316,9.98787824957162,9.9878782495716,0,999.899141254059,28/10/2021 15:00:03.050,28/10/2021 17:12:36.715,10.2336166773748,-116.056665866908,10.2363422382667,-116.051405239274,0.999999999999998,1.25892541179079e-100,1.25739937382582e-99,5.41957297473633e-92,0,0,-999,-999,
169005,3.79476394952554e-96,0,1,15,1,2965,2965,843,899,150.174883681059,160.16276193063,150.174880981445,160.16276550293,155.168823242188,NaN,NaN,NaN,150.174883681059,160.16276193063,10.166233218314,10.166233218314,0,999.899141254059,28/10/2021 15:00:03.050,28/10/2021 17:12:36.715,10.2336166773748,-116.056665866908,10.2363422382667,-116.051405239274,0.999999999999998,1.25892541179078e-100,1.27985293407269e-99,5.51635106357085e-92,0,0,-999,-999,
166040,3.72818914339355e-96,0,1,16,1,2965,2965,900,955,160.341116899373,170.150640180202,160.341110229492,170.150634765625,165.245872497559,NaN,NaN,NaN,160.341116899373,170.150640180202,9.98787824957159,9.9878782495716,0,999.899141254059,28/10/2021 15:00:03.050,28/10/2021 17:12:36.715,10.2336166773748,-116.056665866908,10.2363422382667,-116.051405239274,1,1.25892541179079e-100,1.25739937382582e-99,5.41957297473633e-92,0,0,-999,-999,
