nb_samples,eint,sd_Sv,Vert_Slice_Idx,Horz_Slice_Idx,Ping_S,Ping_E,Nb_good_pings,Sample_S,Sample_E,Range_min,Range_max,Depth_min,Depth_max,Depth_mean,Dist_to_bot_min,Dist_to_bot_max,Dist_to_bot_mean,Range_ref_min,Range_ref_max,Thickness_tot,Thickness_mean,Dist_S,Dist_E,Time_S,Time_E,Lat_S,Lon_S,Lat_E,Lon_E,PRC,sv,ABC,NASC,nb_st,nb_tracks,st_ts_mean,tracks_ts_mean,Tags
43491,9.33740357646542e-05,14.4161928195878,1,1,1,763,763,58,114,10.166233218314,20.1541114678856,10.1662330627441,20.1541118621826,15.1601724624634,NaN,NaN,NaN,10.166233218314,20.1541114678856,10.166233218314,10.166233218314,0,999.354302737751,15/11/2021 15:00:03.066,15/11/2021 15:33:59.194,9.99838973395636,-116.707094722715,10.0051406484655,-116.701181475763,1,1.20376447845256e-08,1.22377504278708e-07,5.27464724979607,0,0,-999,-999,
42728,0.000126539007499317,16.4710411960935,1,2,1,763,763,115,170,20.3324664366279,30.1419897174572,20.3324661254883,30.1419906616211,25.2372283935547,NaN,NaN,NaN,20.3324664366279,30.1419897174572,9.9878782495716,9.9878782495716,0,999.354302737751,15/11/2021 15:00:03.066,15/11/2021 15:33:59.194,9.99838973395636,-116.707094722715,10.0051406484655,-116.701181475763,1,1.66045322521913e-08,1.65844046525972e-07,7.14811802266397,0,0,-999,-999,
42728,0.000159989749824777,25.7937045264739,1,3,1,763,763,171,226,30.3203446861995,40.1298679670288,30.3203449249268,40.1298675537109,35.2251062393188,NaN,NaN,NaN,30.3203446861995,40.1298679670288,9.9878782495716,9.9878782495716,0,999.354302737751,15/11/2021 15:00:03.066,15/11/2021 15:33:59.194,9.99838973395636,-116.707094722715,10.0051406484655,-116.701181475763,1,2.09939607831986e-08,2.09685124278869e-07,9.03773181696689,0,0,-999,-999,
42728,0.000372163717870808,26.2794243626176,1,4,1,763,763,227,282,40.3082229357711,50.1177462166004,40.3082237243652,50.1177444458008,45.212984085083,NaN,NaN,NaN,40.3082229357711,50.1177462166004,9.9878782495716,9.9878782495716,0,999.354302737751,15/11/2021 15:00:03.066,15/11/2021 15:33:59.194,9.99838973395636,-116.707094722715,10.0051406484655,-116.701181475763,1,4.88355691940656e-08,4.87763719358857e-07,21.0233210427884,0,0,-999,-999,
42728,0.000391589782557133,31.752058953473,1,5,1,763,763,283,338,50.2961011853427,60.105624466172,50.2961006164551,60.1056251525879,55.2008628845215,NaN,NaN,NaN,50.2961011853427,60.105624466172,9.9878782495716,9.9878782495716,0,999.354302737751,15/11/2021 15:00:03.066,15/11/2021 15:33:59.194,9.99838973395636,-116.707094722715,10.0051406484655,-116.701181475763,1,5.13846702498724e-08,5.13223830350109e-07,22.120688612188,0,0,-999,-999,
42728,0.000140099520447414,86.898658956746,1,6,1,763,763,339,394,60.2839794349143,70.0935027157436,60.2839813232422,70.093505859375,65.1887435913086,NaN,NaN,NaN,60.2839794349143,70.0935027157436,9.9878782495716,9.9878782495716,0,999.354302737751,15/11/2021 15:00:03.066,15/11/2021 15:33:59.194,9.99838973395636,-116.707094722715,10.0051406484655,-116.701181475763,1,1.8383951729653e-08,1.83616671621775e-07,7.91414384281581,0,0,-999,-999,
42728,4.20358782971761e-05,210.57962332693,1,7,1,763,763,395,450,70.2718576844859,80.0813809653152,70.271858215332,80.0813827514648,75.1766204833984,NaN,NaN,NaN,70.2718576844859,80.0813809653152,9.9878782495716,9.9878782495716,0,999.354302737751,15/11/2021 15:00:03.066,15/11/2021 15:33:59.194,9.99838973395636,-116.707094722715,10.0051406484655,-116.701181475763,1,5.51597575110126e-09,5.50928942295886e-08,2.37458334147418,0,0,-999,-999,
42728,2.02636926222842e-05,450.471206822161,1,8,1,763,763,451,506,80.2597359340575,90.0692592148868,80.2597351074219,90.0692596435547,85.1644973754883,NaN,NaN,NaN,80.2597359340575,90.0692592148868,9.9878782495716,9.9878782495716,0,999.354302737751,15/11/2021 15:00:03.066,15/11/2021 15:33:59.194,9.99838973395636,-116.707094722715,10.0051406484655,-116.701181475763,1,2.6590151475388e-09,2.65579195573842e-08,1.14468470475284,0,0,-999,-999,
42728,0.000216848459857576,174.54804973184,1,9,1,763,763,507,562,90.2476141836291,100.057137464458,90.2476119995117,100.057136535645,95.1523742675781,NaN,NaN,NaN,90.2476141836291,100.057137464458,9.9878782495716,9.9878782495716,0,999.354302737751,15/11/2021 15:00:03.066,15/11/2021 15:33:59.194,9.99838973395636,-116.707094722715,10.0051406484655,-116.701181475763,1,2.84549983179107e-08,2.84205058791057e-07,12.2496486635019,0,0,-999,-999,
42728,5.02794417704123e-05,389.753749599353,1,10,1,763,763,563,618,100.235492433201,110.04501571403,100.235488891602,110.045013427734,105.140251159668,NaN,NaN,NaN,100.235492433201,110.04501571403,9.9878782495716,9.9878782495716,0,999.354302737751,15/11/2021 15:00:03.066,15/11/2021 15:33:59.194,9.99838973395636,-116.707094722715,10.0051406484655,-116.701181475763,1,6.59770160204154e-09,6.58970403281944e-08,2.84025764853979,0,0,-999,-999,
