label.name,label.count,highertaxon,htmlcolorcode,label.perc
Scopelengys tristis,11,Pisciformes,#5FFFFF,2.956989247311828
Kali,1,Pisciformes,#3AFFFF,0.2688172043010753
Cyclothone,38,Pisciformes,#2AFFFF,10.21505376344086
Sternoptychinae,4,Pisciformes,#67FFFF,1.0752688172043012
Melamphaidae,9,Pisciformes,#48FFFF,2.4193548387096775
Bathylagidae,1,Pisciformes,#13FFFF,0.2688172043010753
Nemichthyidae,3,Pisciformes,#51FFFF,0.8064516129032258
Lopadorhynchidae,8,Annelida,#FF11FF,2.1505376344086025
Idiacanthus,3,Pisciformes,#36FFFF,0.8064516129032258
Magnisudis atlantica,17,Pisciformes,#45FFFF,4.56989247311828
Eucopia,1,Crustacea,#432B1E,0.2688172043010753
Japetella diaphana,4,Mollusca,#FF248D,1.0752688172043012
Cydippida,9,Ctenophora,#FFFF29,2.4193548387096775
Serrivomeridae,5,Pisciformes,#61FFFF,1.3440860215053763
Bolitaenidae,8,Mollusca,#FF489F,2.1505376344086025
Actinopterygii,14,Pisciformes,#0BFFFF,3.763440860215054
Tuscaroridae,4,Rhizaria,#10FF10,1.0752688172043012
Melanocetus johnsonii,2,Pisciformes,#49FFFF,0.5376344086021506
Physonectae,4,Siphonophorae,#717171,1.0752688172043012
Planctoteuthis danae,2,Mollusca,#FF499F,0.5376344086021506
Solmissus,2,Hydrozoa,#4949FF,0.5376344086021506
Chiasmodontidae,1,Pisciformes,#21FFFF,0.2688172043010753
Atolla,2,Cnidaria,#FF820E,0.5376344086021506
Copepoda,22,Crustacea,#2F1A13,5.913978494623656
Appendicularia,2,Urochordata,#FF4343,0.5376344086021506
Nudaulacoctena,1,Ctenophora,#FFFF4A,0.2688172043010753
Apolemia,16,Siphonophorae,#202020,4.301075268817205
Chaetognatha,12,Chaetognatha,#FF2DFF,3.225806451612903
Radiozoa,3,Rhizaria,#0FFF0F,0.8064516129032258
Decapoda,15,Crustacea,#a5682a,4.032258064516129
Ostracoda,4,Crustacea,#8F6242,1.0752688172043012
Cestum veneris,1,Ctenophora,#FFFF21,0.2688172043010753
Ctenophora,3,Ctenophora,#FFFF0A,0.8064516129032258
Leptothecata,2,Hydrozoa,#3333FF,0.5376344086021506
Paralepididae,2,Pisciformes,#57FFFF,0.5376344086021506
Amphipoda,1,Crustacea,#23120D,0.2688172043010753
Solmissus incisa,1,Hydrozoa,#4A4AFF,0.2688172043010753
Aeginura grimaldii,2,Hydrozoa,#0F0FFF,0.5376344086021506
Halicreas minimum,6,Hydrozoa,#2A2AFF,1.6129032258064515
