label.name,label.count,highertaxon,htmlcolorcode,label.perc
Carcharhinus longimanus,1,Pisciformes,#1EFFFF,1.2658227848101267
Coryphaena hippurus,6,Pisciformes,#27FFFF,7.59493670886076
Scombridae,2,Pisciformes,#5DFFFF,2.5316455696202533
Thunnus,9,Pisciformes,#6FFFFF,11.39240506329114
Naucrates ductor,7,Pisciformes,#50FFFF,8.860759493670885
Thunnus obesus,9,Pisciformes,#70FFFF,11.39240506329114
Actinopterygii,7,Pisciformes,#0BFFFF,8.860759493670885
Carangidae,1,Pisciformes,#1BFFFF,1.2658227848101267
Siphonophorae,2,Siphonophorae,#050505,2.5316455696202533
Solmissus,2,Hydrozoa,#4949FF,2.5316455696202533
Apolemia,1,Siphonophorae,#202020,1.2658227848101267
Hydrozoa,1,Hydrozoa,#3131FF,1.2658227848101267
Physonectae,1,Siphonophorae,#717171,1.2658227848101267
Cestum veneris,1,Ctenophora,#FFFF21,1.2658227848101267
Cydippida,1,Ctenophora,#FFFF29,1.2658227848101267
Pleurobrachia,1,Ctenophora,#FFFF51,1.2658227848101267
Nanomia,2,Siphonophorae,#b9b9b9,2.5316455696202533
Katsuwonus pelamis,5,Pisciformes,#3CFFFF,6.329113924050633
Leucothea,2,Ctenophora,#FFFF40,2.5316455696202533
Pelagia noctiluca,1,Cnidaria,#FF8C22,1.2658227848101267
Ctenophora,1,Ctenophora,#FFFF0A,1.2658227848101267
Salpidae,7,Urochordata,#FF6565,8.860759493670885
Helicosalpa,1,Urochordata,#FF5151,1.2658227848101267
Copepoda,1,Crustacea,#2F1A13,1.2658227848101267
Beroe cucumis,2,Ctenophora,#FFFF19,2.5316455696202533
Solmaris,4,Hydrozoa,#4747FF,5.063291139240507
Leptothecata,1,Hydrozoa,#3333FF,1.2658227848101267
