label.name,label.count,highertaxon,htmlcolorcode,label.perc
Cyclothone,101,Pisciformes,#2AFFFF,8.544839255499154
Chiroteuthidae,16,Mollusca,#FF1284,1.353637901861252
Melamphaidae,32,Pisciformes,#48FFFF,2.707275803722504
Serrivomeridae,11,Pisciformes,#61FFFF,0.9306260575296108
Scopelengys tristis,19,Pisciformes,#5FFFFF,1.6074450084602367
Magnisudis atlantica,51,Pisciformes,#45FFFF,4.314720812182741
Bolitaenidae,11,Mollusca,#FF489F,0.9306260575296108
Myctophidae,3,Pisciformes,#4DFFFF,0.25380710659898476
Kali,4,Pisciformes,#3AFFFF,0.338409475465313
Sternoptychinae,11,Pisciformes,#67FFFF,0.9306260575296108
Bathylagidae,1,Pisciformes,#13FFFF,0.08460236886632826
Nemichthyidae,13,Pisciformes,#51FFFF,1.0998307952622675
Lopadorhynchidae,41,Annelida,#FF11FF,3.4686971235194584
Idiacanthus,7,Pisciformes,#36FFFF,0.5922165820642978
Eucopia,1,Crustacea,#432B1E,0.08460236886632826
Japetella diaphana,17,Mollusca,#FF248D,1.4382402707275803
Cydippida,21,Ctenophora,#FFFF29,1.7766497461928936
Oegopsida,2,Mollusca,#FF2D91,0.1692047377326565
Planctoteuthis danae,8,Mollusca,#FF499F,0.676818950930626
"Halicreas minimum ""non-vaulted-type""",1,Hydrozoa,#5757FF,0.08460236886632826
Paralepididae,3,Pisciformes,#57FFFF,0.25380710659898476
Rhopalonematidae,2,Hydrozoa,#4343FF,0.1692047377326565
Apolemia lanosa,4,Siphonophorae,#292929,0.338409475465313
Vampyroctena,2,Ctenophora,#FFFF59,0.1692047377326565
Aegina citrea,5,Hydrozoa,#0B0BFF,0.4230118443316413
Actinopterygii,51,Pisciformes,#0BFFFF,4.314720812182741
Tuscaroridae,19,Rhizaria,#10FF10,1.6074450084602367
Melanocetus johnsonii,2,Pisciformes,#49FFFF,0.1692047377326565
Physonectae,8,Siphonophorae,#717171,0.676818950930626
Solmissus,3,Hydrozoa,#4949FF,0.25380710659898476
Chiasmodontidae,1,Pisciformes,#21FFFF,0.08460236886632826
Stomias,5,Pisciformes,#69FFFF,0.4230118443316413
Atolla,3,Cnidaria,#FF820E,0.25380710659898476
Copepoda,31,Crustacea,#2F1A13,2.622673434856176
Appendicularia,2,Urochordata,#FF4343,0.1692047377326565
Nudaulacoctena,1,Ctenophora,#FFFF4A,0.08460236886632826
Apolemia,37,Siphonophorae,#202020,3.1302876480541455
Chaetognatha,54,Chaetognatha,#FF2DFF,4.568527918781726
Radiozoa,9,Rhizaria,#0FFF0F,0.7614213197969544
Decapoda,41,Crustacea,#a5682a,3.4686971235194584
Ostracoda,5,Crustacea,#8F6242,0.4230118443316413
Cestum veneris,1,Ctenophora,#FFFF21,0.08460236886632826
Ctenophora,8,Ctenophora,#FFFF0A,0.676818950930626
Leptothecata,8,Hydrozoa,#3333FF,0.676818950930626
Amphipoda,4,Crustacea,#23120D,0.338409475465313
Solmissus incisa,1,Hydrozoa,#4A4AFF,0.08460236886632826
Erenna laciniata,4,Siphonophorae,#dddddd,0.338409475465313
"Halicreas minimum ""vaulted-type""",1,Hydrozoa,#5656FF,0.08460236886632826
Lobata,2,Ctenophora,#FFFF43,0.1692047377326565
Tomopteris,9,Annelida,#FF1EFF,0.7614213197969544
Haliscera bigelowi,2,Hydrozoa,#2D2DFF,0.1692047377326565
Halitrephes maasi,9,Hydrozoa,#2F2FFF,0.7614213197969544
Anthoathecata,2,Hydrozoa,#1616FF,0.1692047377326565
Vitreosalpa gemini,3,Urochordata,#FF6A6A,0.25380710659898476
Oikopleuridae,55,Urochordata,#FF5959,4.653130287648055
Halicreas minimum,21,Hydrozoa,#2A2AFF,1.7766497461928936
"Physonectae ""Francescia""",1,Siphonophorae,#5f5f5f,0.08460236886632826
Solmundella bitentaculata,9,Hydrozoa,#4E4EFF,0.7614213197969544
Aegina rosea,2,Hydrozoa,#0C0CFF,0.1692047377326565
Paraphyllina,1,Cnidaria,#FF9E47,0.08460236886632826
Ommastrephidae,1,Mollusca,#FF2F92,0.08460236886632826
Poeobius meseres,6,Annelida,#FF17FF,0.5076142131979695
Bathocyroe,3,Ctenophora,#FFFF0E,0.25380710659898476
"Mertensiidae ""orange glider""",1,Ctenophora,#FFFF5C,0.08460236886632826
Bathyctena,6,Ctenophora,#FFFF13,0.5076142131979695
Aeginura grimaldii,3,Hydrozoa,#0F0FFF,0.25380710659898476
Cranchiidae,4,Mollusca,#FF1E8A,0.338409475465313
Deepstaria reticulum,1,Cnidaria,#FF983A,0.08460236886632826
Halitrephes,1,Hydrozoa,#2E2EFF,0.08460236886632826
Rhynchohyalus natalensis,1,Pisciformes,#5CFFFF,0.08460236886632826
Vitreledonella richardi,1,Mollusca,#FF3D99,0.08460236886632826
Vinciguerria,7,Pisciformes,#71FFFF,0.5922165820642978
Thetys vagina,1,Urochordata,#FF6868,0.08460236886632826
Gigantocypris agassizi,1,Crustacea,#BF9A75,0.08460236886632826
Nemertea,3,Nemertea,#FF24FF,0.25380710659898476
Planctoteuthis,1,Mollusca,#FF439C,0.08460236886632826
Erenna,3,Siphonophorae,#d4d4d4,0.25380710659898476
Apolemia rubriversa,1,Siphonophorae,#3b3b3b,0.08460236886632826
Vogtia serrata,1,Siphonophorae,#171717,0.08460236886632826
Sternoptychidae,3,Pisciformes,#66FFFF,0.25380710659898476
Teleostei,9,Pisciformes,#6CFFFF,0.7614213197969544
Gammaridea,1,Crustacea,#4A210F,0.08460236886632826
Salpinae,1,Urochordata,#FF7070,0.08460236886632826
Polychaeta,12,Annelida,#FF18FF,1.015228426395939
Narcomedusae,2,Hydrozoa,#3737FF,0.1692047377326565
Siphonophorae,43,Siphonophorae,#050505,3.6379018612521152
Arctapodema,4,Hydrozoa,#1717FF,0.338409475465313
Salpidae,7,Urochordata,#FF6565,0.5922165820642978
Solmundella,1,Hydrozoa,#4D4DFF,0.08460236886632826
Peniagone,1,Echinodermata,#FF934A,0.08460236886632826
Euphausiidae,2,Crustacea,#483c32,0.1692047377326565
Sapphirina,1,Crustacea,#9C622B,0.08460236886632826
Lampocteis,1,Ctenophora,#FFFF3D,0.08460236886632826
Sergestidae,1,Crustacea,#a35015,0.08460236886632826
Halicreas,4,Hydrozoa,#2929FF,0.338409475465313
