label.name,label.count,highertaxon,htmlcolorcode,label.perc
Sternoptychinae,42,Pisciformes,#67FFFF,2.3863636363636367
Actinopterygii,94,Pisciformes,#0BFFFF,5.340909090909091
Beroe,18,Ctenophora,#FFFF17,1.0227272727272727
Melamphaidae,31,Pisciformes,#48FFFF,1.7613636363636362
Vinciguerria,50,Pisciformes,#71FFFF,2.840909090909091
Solmundella bitentaculata,8,Hydrozoa,#4E4EFF,0.45454545454545453
Calycophorae,4,Siphonophorae,#565656,0.22727272727272727
Bathocyroe,20,Ctenophora,#FFFF0E,1.1363636363636365
Salpidae,10,Urochordata,#FF6565,0.5681818181818182
Vitreledonella richardi,1,Mollusca,#FF3D99,0.056818181818181816
Magnisudis atlantica,9,Pisciformes,#45FFFF,0.5113636363636364
Nemichthyidae,5,Pisciformes,#51FFFF,0.2840909090909091
Beroe forskalii,4,Ctenophora,#FFFF1A,0.22727272727272727
Bathylagidae,3,Pisciformes,#13FFFF,0.17045454545454544
Aegina citrea,4,Hydrozoa,#0B0BFF,0.22727272727272727
Oikopleuridae,362,Urochordata,#FF5959,20.56818181818182
Amphipoda,4,Crustacea,#23120D,0.22727272727272727
Polychaeta,10,Annelida,#FF18FF,0.5681818181818182
Copepoda,235,Crustacea,#2F1A13,13.352272727272727
Trachylina,8,Hydrozoa,#5252FF,0.45454545454545453
Sergestidae,33,Crustacea,#a35015,1.875
Hyperiidea,9,Crustacea,#6F3515,0.5113636363636364
Malacostraca,12,Crustacea,#836539,0.6818181818181818
Euphausiidae,42,Crustacea,#483c32,2.3863636363636367
Leptothecata,53,Hydrozoa,#3333FF,3.0113636363636362
Ctenophora,18,Ctenophora,#FFFF0A,1.0227272727272727
Radiozoa,15,Rhizaria,#0FFF0F,0.8522727272727272
Ostracoda,1,Crustacea,#8F6242,0.056818181818181816
Salpida,10,Urochordata,#FF6464,0.5681818181818182
Collodaria,6,Rhizaria,#0CFF0C,0.3409090909090909
Thalassocalyce inconstans,9,Ctenophora,#FFFF56,0.5113636363636364
Solmaris,10,Hydrozoa,#4747FF,0.5681818181818182
Cyphocaris,1,Crustacea,#B3490A,0.056818181818181816
Pteropoda,2,Mollusca,#FF3193,0.11363636363636363
Decapoda,38,Crustacea,#a5682a,2.159090909090909
Narcomedusae,4,Hydrozoa,#3737FF,0.22727272727272727
Mollusca,1,Mollusca,#FF0A80,0.056818181818181816
Solmissus,17,Hydrozoa,#4949FF,0.9659090909090908
