nb_samples,eint,sd_Sv,Vert_Slice_Idx,Horz_Slice_Idx,Ping_S,Ping_E,Nb_good_pings,Sample_S,Sample_E,Range_min,Range_max,Depth_min,Depth_max,Depth_mean,Dist_to_bot_min,Dist_to_bot_max,Dist_to_bot_mean,Range_ref_min,Range_ref_max,Thickness_tot,Thickness_mean,Dist_S,Dist_E,Time_S,Time_E,Lat_S,Lon_S,Lat_E,Lon_E,PRC,sv,ABC,NASC,nb_st,nb_tracks,st_ts_mean,tracks_ts_mean,Tags
25650,0.000208037895249121,10.6053951980571,1,1,1,450,450,58,114,10.032856425,19.889697825,10.0328559875488,19.8896980285645,14.9612770080566,NaN,NaN,NaN,10.032856425,19.889697825,10.032856425,10.032856425,0,998.924625334891,28/03/2021 16:00:02.992,28/03/2021 16:20:30.335,10.1672896828224,-117.665634720682,10.1737313218015,-117.659294210779,1,4.60792434679873e-08,4.62306433886936e-07,19.9260752573545,0,0,-999,-999,
25650,2.65514085102208e-05,23.5150565461409,1,2,1,450,450,115,171,20.06571285,29.92255425,20.0657119750977,29.9225540161133,24.9941329956055,NaN,NaN,NaN,20.06571285,29.92255425,10.032856425,10.032856425,0,998.924625334891,28/03/2021 16:00:02.992,28/03/2021 16:20:30.335,10.1672896828224,-117.665634720682,10.1737313218015,-117.659294210779,1,5.88099017102328e-09,5.90031300227128e-08,2.543120153806,0,0,-999,-999,
25650,3.0040598690388e-05,34.2459370901545,1,3,1,450,450,172,228,30.098569275,39.955410675,30.0985698699951,39.9554100036621,35.0269899368286,NaN,NaN,NaN,30.098569275,39.955410675,10.032856425,10.032856425,0,998.924625334891,28/03/2021 16:00:02.992,28/03/2021 16:20:30.335,10.1672896828224,-117.665634720682,10.1737313218015,-117.659294210779,1,6.65382650271904e-09,6.675688597864e-08,2.87731823840966,0,0,-999,-999,
25650,5.21035225280524e-05,35.7365201857271,1,4,1,450,450,229,285,40.1314257,49.9882671,40.1314239501953,49.9882659912109,45.0598449707031,NaN,NaN,NaN,40.1314257,49.9882671,10.032856425,10.032856425,0,998.924625334891,28/03/2021 16:00:02.992,28/03/2021 16:20:30.335,10.1672896828224,-117.665634720682,10.1737313218015,-117.659294210779,1,1.15406421375051e-08,1.15785605617894e-07,4.99052689330465,0,0,-999,-999,
25650,4.96372859242857e-05,51.7574637760629,1,5,1,450,450,286,342,50.164282125,60.021123525,50.1642837524414,60.0211219787598,55.0927028656006,NaN,NaN,NaN,50.164282125,60.021123525,10.032856425,10.032856425,0,998.924625334891,28/03/2021 16:00:02.992,28/03/2021 16:20:30.335,10.1672896828224,-117.665634720682,10.1737313218015,-117.659294210779,1,1.09943843666382e-08,1.10305079831746e-07,4.7543083134625,0,0,-999,-999,
25200,4.25282221824837e-05,68.5758708650874,1,6,1,450,450,343,398,60.19713855,69.877964925,60.1971397399902,69.8779678344727,65.0375537872314,NaN,NaN,NaN,60.19713855,69.877964925,9.8568414,9.8568414,0,998.924625334891,28/03/2021 16:00:02.992,28/03/2021 16:20:30.335,10.1672896828224,-117.665634720682,10.1737313218015,-117.659294210779,1,9.5879761650136e-09,9.45071604055192e-08,4.07339516079459,0,0,-999,-999,
25650,3.36482988101518e-05,98.7210849413934,1,7,1,450,450,399,455,70.05397995,79.91082135,70.0539779663086,79.9108200073242,74.9823989868164,NaN,NaN,NaN,70.05397995,79.91082135,10.032856425,10.032856425,0,998.924625334891,28/03/2021 16:00:02.992,28/03/2021 16:20:30.335,10.1672896828224,-117.665634720682,10.1737313218015,-117.659294210779,1,7.45291213074375e-09,7.47739973558929e-08,3.22286732217777,0,0,-999,-999,
25650,2.63645500554902e-05,143.992658064134,1,8,1,450,450,456,512,80.086836375,89.943677775,80.0868377685547,89.9436798095703,85.0152587890625,NaN,NaN,NaN,80.086836375,89.943677775,10.032856425,10.032856425,0,998.924625334891,28/03/2021 16:00:02.992,28/03/2021 16:20:30.335,10.1672896828224,-117.665634720682,10.1737313218015,-117.659294210779,0.999999999999999,5.83960205652005e-09,5.85878890122004e-08,2.52522266629789,0,0,-999,-999,
25650,2.13442795562353e-05,217.732060824733,1,9,1,450,450,513,569,90.1196928,99.9765342,90.1196899414063,99.9765319824219,95.0481109619141,NaN,NaN,NaN,90.1196928,99.9765342,10.032856425,10.032856425,0,998.924625334891,28/03/2021 16:00:02.992,28/03/2021 16:20:30.335,10.1672896828224,-117.665634720682,10.1737313218015,-117.659294210779,1,4.72763990013837e-09,4.74317323471896e-08,2.0443761952228,0,0,-999,-999,
25650,6.54626058824337e-06,425.318442874278,1,10,1,450,450,570,626,100.152549225,110.009390625,100.152549743652,110.009391784668,105.08097076416,NaN,NaN,NaN,100.152549225,110.009390625,10.032856425,10.032856425,0,998.924625334891,28/03/2021 16:00:02.992,28/03/2021 16:20:30.335,10.1672896828224,-117.665634720682,10.1737313218015,-117.659294210779,1,1.44996052324669e-09,1.45472457516519e-08,0.627007310275804,0,0,-999,-999,
25200,7.88195054868695e-07,276.832936438588,1,11,1,450,450,627,682,110.18540565,119.866232025,110.185401916504,119.866233825684,115.025817871094,NaN,NaN,NaN,110.18540565,119.866232025,9.8568414,9.8568414,0,998.924625334891,28/03/2021 16:00:02.992,28/03/2021 16:20:30.335,10.1672896828224,-117.665634720682,10.1737313218015,-117.659294210779,1,1.77698361502994e-10,1.75154456637488e-09,0.0754941015048296,0,0,-999,-999,
